Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
29 Wheeler St UNIT 109, 29 Wheeler St UNIT 109, 02138, Cambridge, MA, 42.38918, -71.1443, 2750, FOR_RENT, APARTMENT, 165692298, undefined, 1, 1, Unit 109, 9, 2, 9938967000, true, false, -1, false
56 Cedar St #1, 56 Cedar St #1, 02140, Cambridge, MA, 42.394466, -71.1305, 6000, FOR_RENT, APARTMENT, 2098681663, undefined, 5, 2, # 1, 9, 4, 9940685000, true, false, -1, false
6 Alberta Ter APT 4, 6 Alberta Ter APT 4, 02140, Cambridge, MA, 42.396908, -71.130035, 2750, FOR_RENT, APARTMENT, 2084024851, undefined, 2, 1, Apt 4, 8, 10, 11765482000, true, false, -1, false
341 Windsor St APT 3, 341 Windsor St APT 3, 02141, Cambridge, MA, 42.36964, -71.09477, 2700, FOR_RENT, APARTMENT, 352120307, 700, 3, 1, Apt 3, 3, 10, 11239579000, true, false, -1, false
2 Earhart St UNIT 822, 2 Earhart St UNIT 822, 02141, Cambridge, MA, 42.371315, -71.07429, 3500, FOR_RENT, APARTMENT, 90178742, 946, 1, 2, Unit 822, 10, 3, 8244815000, true, false, -1, false
36A Speridakis Ter #1, 36A Speridakis Ter #1, 02139, Cambridge, MA, 42.36018, -71.1067, 4000, FOR_RENT, APARTMENT, 345095885, undefined, 3, 1, # 1, 10, 9, 18591676000, true, false, -1, false
218 Columbia St UNIT 2F, 218 Columbia St UNIT 2F, 02139, Cambridge, MA, 42.368507, -71.09676, 4100, FOR_RENT, APARTMENT, 350474463, 9999, 3, 1, Unit 2F, 4, 10, 13140566000, true, false, -1, false
94 Sciarappa St #2, 94 Sciarappa St #2, 02141, Cambridge, MA, 42.36928, -71.08185, 4800, FOR_RENT, APARTMENT, 2079840799, 1600, 4, 2, # 2, 5, 4, 7650697000, true, false, -1, false
289 Elm St #3, 289 Elm St #3, 02139, Cambridge, MA, 42.37327, -71.095406, 3000, FOR_RENT, APARTMENT, 2119929742, 1000, 2, 1, # 3, 10, 2, 789476000, true, false, -1, false
7 Blake St #5C, 7 Blake St #5C, 02140, Cambridge, MA, 42.391342, -71.121994, 2450, FOR_RENT, APARTMENT, 349798382, 400, 0, 1, # 5C, 5, 7, 14046979000, true, false, -1, false
