Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
411 Marlborough St APT 7, 411 Marlborough St APT 7, 02115, Boston, MA, 42.35035, -71.08892, 849990, FOR_SALE, CONDO, 59169141, 875, 2, 1, Apt 7, 7, 5, 1364020000, true, false, -1, false
392 E 8th St #1, 392 E 8th St #1, 02127, South Boston, MA, 42.331394, -71.045364, 495000, FOR_SALE, CONDO, 71333555, 449, 1, 1, # 1, 6, 5, 4128820000, true, false, -1, false
44 Chickatawbut St #2, 44 Chickatawbut St #2, 02122, Dorchester, MA, 42.28585, -71.04822, 725000, FOR_SALE, CONDO, 2067316038, 1190, 3, 2, # 2, 6, 4, 845620000, true, false, -1, false
208 H St, 208 H St, 02127, South Boston, MA, 42.330708, -71.0412, 1674900, FOR_SALE, SINGLE_FAMILY, 59151200, 2283, 3, 3, , 10, 5, 4042420000, true, false, -1, false
100 F St, 100 F St, 02127, South Boston, MA, 42.335835, -71.04913, 2699000, FOR_SALE, SINGLE_FAMILY, 59151401, 2928, 5, 4, , 8, 9, 413620000, true, false, -1, false
243 Neponset Valley Pkwy #243, 243 Neponset Valley Pkwy #243, 02136, Hyde Park, MA, 42.236217, -71.12887, 899000, FOR_SALE, TOWNHOUSE, 441154059, 2077, 4, 3, # 243, 9, 2, 1623220000, true, false, -1, false
127 School St, 127 School St, 02119, Boston, MA, 42.31572, -71.10038, 875000, FOR_SALE, MULTI_FAMILY, 59187597, 2094, 5, 3, , 7, 6, 6461620000, true, false, -1, false
1 Melbourne St APT 8, 1 Melbourne St APT 8, 02124, Dorchester, MA, 42.29155, -71.06627, 279000, FOR_SALE, CONDO, 59107937, 604, 2, 1, Apt 8, 8, 4, 1882420000, true, false, -1, false
465 Park Dr APT D, 465 Park Dr APT D, 02215, Boston, MA, 42.346287, -71.10449, 359000, FOR_SALE, CONDO, 59169949, 380, 0, 1, Apt D, 4, 6, 2141620000, true, false, -1, false
31 Pinckney St APT 1, 31 Pinckney St APT 1, 02114, Boston, MA, 42.35895, -71.066315, 1200000, FOR_SALE, CONDO, 59174019, 887, 2, 2, Apt 1, 4, 8, 1191220000, true, false, -1, false
