Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
310 Tappan St APT 6, 310 Tappan St APT 6, 02445, Brookline, MA, 42.3361, -71.1383, 2850, FOR_RENT, APARTMENT, 2116162636, 900, 2, 1, Apt 6, 7, 8, 3375232000, true, false, -1, false
38 Juniper St APT 114, 38 Juniper St APT 114, 02445, Brookline, MA, 42.33104, -71.11614, 3100, FOR_RENT, APARTMENT, 82230606, 850, 2, 1, Apt 114, 1, 2, 3563009000, true, false, -1, false
11 Independence Dr, 11 Independence Dr, 02467, Chestnut Hill, MA, 42.30091, -71.1547, 5095, FOR_RENT, TOWNHOUSE, 2058194521, 1470, 3, 3, , 7, 1, 4074106000, true, false, -1, false
1455 Beacon St APT 35, 1455 Beacon St APT 35, 02446, Brookline, MA, 42.339996, -71.127304, 3800, FOR_RENT, APARTMENT, 2090519521, undefined, 1, 1, Apt 35, 9, 2, 3302370000, true, false, -1, false
1401 Beacon St #913669801, 1401 Beacon St #913669801, 02446, Brookline, MA, 42.340836, -71.12465, 2650, FOR_RENT, APARTMENT, 2097462724, undefined, 1, 1, # 913669801, 5, 8, 3212297000, true, false, -1, false
40-46 Harvard Ave, 40-46 Harvard Ave, 02446, Brookline, MA, 42.335865, -71.12327, 2785, FOR_RENT, APARTMENT, 295169419, 700, 1, 1, , 9, 3, 2547955000, true, false, -1, false
20 Chapel St APT A1003, 20 Chapel St APT A1003, 02446, Brookline, MA, 42.341503, -71.11172, 3995, FOR_RENT, APARTMENT, 82167367, 780, 1, 1, Apt A1003, 10, 9, 6230358000, true, false, -1, false
1465 Beacon St #14, 1465 Beacon St #14, 02446, Brookline, MA, 42.34011, -71.127945, 3000, FOR_RENT, APARTMENT, 441824414, 760, 1, 1, # 14, 9, 7, 370700000, true, false, -1, false
184 Saint Paul St #3, 184 Saint Paul St #3, 02446, Brookline, MA, 42.343987, -71.11736, 7300, FOR_RENT, APARTMENT, 2082104039, undefined, 5, 2, # 3, 2, 4, 1130133000, true, false, -1, false
33 Stearns Rd APT 1, 33 Stearns Rd APT 1, 02446, Brookline, MA, 42.34003, -71.119064, 4300, FOR_RENT, APARTMENT, 2107108731, 1400, 3, 1, Apt 1, 10, 8, 3989228000, true, false, -1, false
