Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
9 Bennett St #2, 9 Bennett St #2, 02135, Boston, MA, 42.35126, -71.1529, 3150, FOR_RENT, APARTMENT, 2086233575, 9999, 3, 1, # 2, 1, 9, 14698002000, true, false, -1, false
16 Sutherland Rd APT 2, 16 Sutherland Rd APT 2, 02135, Brighton, MA, 42.337044, -71.15049, 4200, FOR_RENT, APARTMENT, 2121143722, 9999, 4, 2, Apt 2, 5, 3, 20916132000, true, false, -1, false
11 Lothrop St FLOOR 2, 11 Lothrop St FLOOR 2, 02135, Brighton, MA, 42.360203, -71.145454, 3300, FOR_RENT, APARTMENT, 374852641, 9999, 3, 1, Floor 2, 10, 6, 8908319000, true, false, -1, false
72 Strathmore Rd APT 12B, 72 Strathmore Rd APT 12B, 02135, Brighton, MA, 42.33832, -71.149124, 3250, FOR_RENT, APARTMENT, 59094375, 9999, 3, 1, Apt 12B, 7, 4, 13736502000, true, false, -1, false
33 Bigelow St #2, 33 Bigelow St #2, 02135, Brighton, MA, 42.353085, -71.1675, 3400, FOR_RENT, APARTMENT, 2106113872, 9999, 3, 1, # 2, 9, 5, 14344588000, true, false, -1, false
8 Donnybrook Rd #2, 8 Donnybrook Rd #2, 02135, Brighton, MA, 42.35405, -71.15886, 4400, FOR_RENT, APARTMENT, 2058927214, 9999, 4, 2, # 2, 4, 3, 15905427000, true, false, -1, false
35 Bentley St #2, 35 Bentley St #2, 02135, Boston, MA, 42.350857, -71.15144, 9999, FOR_RENT, APARTMENT, 2095081294, 9999, 5, 2, # 2, 8, 5, 20474269000, true, false, -1, false
49 Orkney Rd #3, 49 Orkney Rd #3, 02135, Brighton, MA, 42.337017, -71.149345, 4400, FOR_RENT, APARTMENT, 2083055250, 9999, 4, 2, # 3, 1, 8, 20915866000, true, false, -1, false
66 Perthshire Rd #2, 66 Perthshire Rd #2, 02135, Brighton, MA, 42.353596, -71.16843, 4500, FOR_RENT, APARTMENT, 2106225106, 2200, 4, 2, # 2, 5, 4, 187544000, true, false, -1, false
21 Morrow Rd FLOOR 2, 21 Morrow Rd FLOOR 2, 02135, Brighton, MA, 42.35349, -71.1495, 3200, FOR_RENT, APARTMENT, 2057772589, 9999, 3, 1, Floor 2, 2, 7, 13743205000, true, false, -1, false
19 Litchfield St APT 3, 19 Litchfield St APT 3, 02135, Brighton, MA, 42.35865, -71.14125, 3400, FOR_RENT, APARTMENT, 2058884681, 9999, 3, 1, Apt 3, 2, 10, 15637087000, true, false, -1, false
16 Leicester St FLOOR 2, 16 Leicester St FLOOR 2, 02135, Brighton, MA, 42.349823, -71.15481, 3300, FOR_RENT, APARTMENT, 2058090708, 9999, 3, 1, Floor 2, 3, 9, 15644213000, true, false, -1, false
72 Brooks St #2, 72 Brooks St #2, 02135, Brighton, MA, 42.35512, -71.16243, 3200, FOR_RENT, APARTMENT, 2101963134, 9999, 3, 1, # 2, 5, 1, 17450421000, true, false, -1, false
39 Snow St #1, 39 Snow St #1, 02135, Brighton, MA, 42.345837, -71.14939, 6000, FOR_RENT, APARTMENT, 2060190298, undefined, 4, 3, # 1, 4, 3, 19080452000, true, false, -1, false
17 Hemenway St #14, 17 Hemenway St #14, 02115, Boston, MA, 42.34628, -71.089516, 3200, FOR_RENT, APARTMENT, 343715243, undefined, 0, 1, # 14, 6, 1, 19785450000, true, false, -1, false
20 Chiswick Rd #8, 20 Chiswick Rd #8, 02135, Brighton, MA, 42.3383, -71.15067, 3400, FOR_RENT, APARTMENT, 2064201682, 9999, 3, 1, # 8, 10, 9, 19780966000, true, false, -1, false
65 Gardena St #1, 65 Gardena St #1, 02135, Brighton, MA, 42.353424, -71.14736, 4950, FOR_RENT, APARTMENT, 343738132, 9999, 4, 3, # 1, 1, 3, 19777142000, true, false, -1, false
7 Willoughby St, 7 Willoughby St, 02135, Brighton, MA, 42.347126, -71.16071, 4200, FOR_RENT, APARTMENT, 2121490953, 2000, 4, 2, , 7, 9, 397594000, true, false, -1, false
30 Faneuil St #2, 30 Faneuil St #2, 02135, Brighton, MA, 42.355087, -71.15117, 4800, FOR_RENT, APARTMENT, 2057430764, 9999, 4, 3, # 2, 4, 8, 15636219000, true, false, -1, false
4 Donnybrook Rd #2, 4 Donnybrook Rd #2, 02135, Brighton, MA, 42.35388, -71.1586, 4000, FOR_RENT, APARTMENT, 341044273, 9999, 4, 2, # 2, 1, 3, 20829210000, true, false, -1, false
490 Washington St #2, 490 Washington St #2, 02135, Boston, MA, 42.348698, -71.16119, 4950, FOR_RENT, APARTMENT, 2088622349, 9999, 5, 3, # 2, 4, 10, 10549373000, true, false, -1, false
17 Kinross Rd FLOOR 3, 17 Kinross Rd FLOOR 3, 02135, Brighton, MA, 42.340214, -71.14968, 3600, FOR_RENT, APARTMENT, 2059303310, 9999, 3, 2, Floor 3, 6, 6, 15643473000, true, false, -1, false
31 Mansfield St #2, 31 Mansfield St #2, 02134, Allston, MA, 42.358196, -71.13093, 5200, FOR_RENT, APARTMENT, 346925411, 9999, 4, 3, # 2, 1, 6, 17449283000, true, false, -1, false
36 Orkney Rd APT 3, 36 Orkney Rd APT 3, 02135, Brighton, MA, 42.33672, -71.149765, 4400, FOR_RENT, APARTMENT, 59095047, 9999, 4, 2, Apt 3, 9, 3, 19101792000, true, false, -1, false
70 Langley Rd #1, 70 Langley Rd #1, 02135, Brighton, MA, 42.349422, -71.165085, 5700, FOR_RENT, APARTMENT, 340656348, 9999, 4, 3, # 1, 5, 8, 20916307000, true, false, -1, false
12 Cummings Rd #2, 12 Cummings Rd #2, 02135, Brighton, MA, 42.34019, -71.14347, 5000, FOR_RENT, APARTMENT, 2107935091, 9999, 5, 2, # 2, 8, 4, 10553742000, true, false, -1, false
1561 Commonwealth Ave #3, 1561 Commonwealth Ave #3, 02135, Brighton, MA, 42.344433, -71.14213, 2900, FOR_RENT, APARTMENT, 350457580, 9999, 2, 1, # 3, 6, 7, 13131810000, true, false, -1, false
14-18 Westford St #7R, 14-18 Westford St #7R, 02134, Allston, MA, 42.362244, -71.1348, 3100, FOR_RENT, APARTMENT, 348817241, 750, 2, 1, # 7R, 4, 10, 14951268000, true, false, -1, false
128 Parsons St #2, 128 Parsons St #2, 02135, Brighton, MA, 42.354424, -71.15557, 5500, FOR_RENT, APARTMENT, 2057621662, 9999, 5, 3, # 2, 8, 1, 15377170000, true, false, -1, false
108 Kenrick St #4, 108 Kenrick St #4, 02135, Brighton, MA, 42.346447, -71.16721, 5400, FOR_RENT, APARTMENT, 347887478, 9999, 4, 2, # 4, 4, 8, 16164706000, true, false, -1, false
57 Hobart St #1, 57 Hobart St #1, 02135, Brighton, MA, 42.35524, -71.15999, 3300, FOR_RENT, APARTMENT, 2098348131, 9999, 3, 1, # 1, 8, 5, 15917453000, true, false, -1, false
